Index,X (m),Y (m),Z (m),Distance (m),Power (dBm),Phase (deg)
186,-8.75181,-15.1136,2.5,26.4958,-103.511,146.229
187,-8.25181,-15.1136,2.5,26.3407,-104.803,-134.235
188,-7.75181,-15.1136,2.5,26.1942,-99.1294,178.102
189,-7.25181,-15.1136,2.5,26.0565,-100.415,-87.545
190,-6.75181,-15.1136,2.5,25.9277,-85.8992,112.817
191,-6.25181,-15.1136,2.5,25.8079,-80.814,104.191
192,-5.75181,-15.1136,2.5,25.6973,-84.2359,50.2488
193,-5.25181,-15.1136,2.5,25.596,-82.6885,74.2997
194,-4.75181,-15.1136,2.5,25.5041,-83.3395,-159.592
195,-4.25181,-15.1136,2.5,25.4217,-83.9752,93.6026
196,-3.75181,-15.1136,2.5,25.3489,-83.2296,8.86293
197,-3.25181,-15.1136,2.5,25.2858,-90.0085,26.5239
198,-2.75181,-15.1136,2.5,25.2324,-82.4875,148.612
199,-2.25181,-15.1136,2.5,25.1889,-80.8327,-37.2606
200,-1.75181,-15.1136,2.5,25.1552,-82.0495,-176.413
201,-1.25181,-15.1136,2.5,25.1314,-82.2807,146.793
202,-0.751808,-15.1136,2.5,25.1175,-84.4865,150.083
203,-0.251808,-15.1136,2.5,25.1136,-83.2519,-87.0214
204,0.248192,-15.1136,2.5,25.1197,-82.5231,97.6563
205,0.748192,-15.1136,2.5,25.1357,-84.591,6.97237
206,1.24819,-15.1136,2.5,25.1616,-79.2551,-10.3546
207,1.74819,-15.1136,2.5,25.1974,-79.8341,61.5664
208,2.24819,-15.1136,2.5,25.2431,-88.5745,-163.63
209,2.74819,-15.1136,2.5,25.2986,-84.0902,11.1024
210,3.24819,-15.1136,2.5,25.3638,-82.0393,-46.852
211,3.74819,-15.1136,2.5,25.4386,-84.0875,-45.2676
212,4.24819,-15.1136,2.5,25.5231,-84.3455,19.487
213,4.74819,-15.1136,2.5,25.617,-82.8909,-162.266
214,5.24819,-15.1136,2.5,25.7203,-87.0285,110.264
215,5.74819,-15.1136,2.5,25.8329,-81.9523,123.398
216,6.24819,-15.1136,2.5,25.9547,-82.3656,165.805
217,6.74819,-15.1136,2.5,26.0854,-93.519,67.7166
218,7.24819,-15.1136,2.5,26.225,-86.1486,-11.3669
219,7.74819,-15.1136,2.5,26.3734,-101.765,-117.861
220,8.24819,-15.1136,2.5,26.5303,-106.046,104.78
221,8.74819,-15.1136,2.5,26.6958,-116.127,121.783
222,9.24819,-15.1136,2.5,26.8694,-250.0,0.0
223,-27.2518,-14.6136,2.5,36.4955,-250.0,0.0
224,-26.7518,-14.6136,2.5,36.1279,-250.0,0.0
225,-26.2518,-14.6136,2.5,35.7635,-250.0,0.0
226,-25.7518,-14.6136,2.5,35.4025,-250.0,0.0
227,-25.2518,-14.6136,2.5,35.0448,-250.0,0.0
228,-24.7518,-14.6136,2.5,34.6907,-250.0,0.0
229,-24.2518,-14.6136,2.5,34.3401,-250.0,0.0
230,-23.7518,-14.6136,2.5,33.9934,-250.0,0.0
231,-23.2518,-14.6136,2.5,33.6505,-250.0,0.0
232,-22.7518,-14.6136,2.5,33.3115,-250.0,0.0
233,-22.2518,-14.6136,2.5,32.9767,-250.0,0.0
234,-21.7518,-14.6136,2.5,32.6461,-250.0,0.0
235,-21.2518,-14.6136,2.5,32.3198,-250.0,0.0
236,-20.7518,-14.6136,2.5,31.998,-250.0,0.0
237,-20.2518,-14.6136,2.5,31.6808,-250.0,0.0
238,-19.7518,-14.6136,2.5,31.3685,-250.0,0.0
239,-19.2518,-14.6136,2.5,31.061,-250.0,0.0
240,-18.7518,-14.6136,2.5,30.7585,-250.0,0.0
241,-18.2518,-14.6136,2.5,30.4613,-250.0,0.0
242,-17.7518,-14.6136,2.5,30.1694,-113.618,49.8013
243,-17.2518,-14.6136,2.5,29.8831,-250.0,0.0
244,-16.7518,-14.6136,2.5,29.6024,-108.768,138.584
245,-16.2518,-14.6136,2.5,29.3276,-112.134,162.186
246,-15.7518,-14.6136,2.5,29.0587,-118.64,135.112
247,-15.2518,-14.6136,2.5,28.7961,-119.299,-8.14428
248,-14.7518,-14.6136,2.5,28.5398,-143.308,27.7741
249,-14.2518,-14.6136,2.5,28.29,-132.704,120.853
250,-13.7518,-14.6136,2.5,28.0469,-117.816,-13.5596
251,-13.2518,-14.6136,2.5,27.8106,-114.148,-178.852
252,-12.7518,-14.6136,2.5,27.5814,-170.776,-60.4293
253,-12.2518,-14.6136,2.5,27.3594,-100.766,114.066
254,-11.7518,-14.6136,2.5,27.1448,-99.3294,27.8716
255,-11.2518,-14.6136,2.5,26.9378,-95.6833,110.978
256,-10.7518,-14.6136,2.5,26.7385,-98.2302,142.913
257,-10.2518,-14.6136,2.5,26.5472,-98.1886,-89.8892
258,-9.75181,-14.6136,2.5,26.3639,-100.217,-37.5077
259,-9.25181,-14.6136,2.5,26.1889,-104.72,-17.03
260,-8.75181,-14.6136,2.5,26.0224,-103.342,9.62936
261,-8.25181,-14.6136,2.5,25.8644,-103.669,18.6533
262,-7.75181,-14.6136,2.5,25.7152,-104.674,-25.3477
263,-7.25181,-14.6136,2.5,25.5749,-133.029,25.8726
264,-6.75181,-14.6136,2.5,25.4437,-91.9845,123.126
265,-6.25181,-14.6136,2.5,25.3216,-80.2291,75.1257
266,-5.75181,-14.6136,2.5,25.2089,-82.2191,78.6273
267,-5.25181,-14.6136,2.5,25.1056,-83.2583,178.627
268,-4.75181,-14.6136,2.5,25.0119,-84.7204,7.23477
269,-4.25181,-14.6136,2.5,24.9279,-81.5969,-86.8811
270,-3.75181,-14.6136,2.5,24.8536,-85.4584,-109.655
271,-3.25181,-14.6136,2.5,24.7893,-79.5698,-49.4586
272,-2.75181,-14.6136,2.5,24.7348,-85.5236,37.7014
273,-2.25181,-14.6136,2.5,24.6904,-80.5576,-53.172
274,-1.75181,-14.6136,2.5,24.656,-81.698,-179.209
275,-1.25181,-14.6136,2.5,24.6317,-84.5455,146.542
276,-0.751808,-14.6136,2.5,24.6176,-85.0776,177.716
277,-0.251808,-14.6136,2.5,24.6136,-88.6344,-25.056
278,0.248192,-14.6136,2.5,24.6198,-90.1502,140.849
