N,X,Y,Z,Distance,Power (dBm),Phase (deg),Angle
853.0,-8.25181,-10.6136,2.5,22.0921,-97.7004,120.495,-162
774.0,-10.7518,-11.1136,2.5,23.5564,-94.3018,130.898,-162
917.0,-13.2518,-10.1136,2.5,23.9198,-101.916,112.453,-162
693.0,-14.2518,-11.6136,2.5,25.7224,-106.301,-28.2066,-162
715.0,-3.25181,-11.6136,2.5,21.8134,-82.6016,85.7828,-162
613.0,-17.2518,-12.1136,2.5,27.86,-121.477,20.7372,-162
3234.0,-1.75181,5.38644,2.5,4.8349,-69.9051,-69.9093,-162
3189.0,-24.2518,5.38644,2.5,24.3865,-101.886,-137.64,-162
3342.0,-21.7518,6.38644,2.5,21.7484,-122.372,59.453,-162
3167.0,1.74819,4.88644,2.5,5.51061,-70.443,-106.025,-162
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-162
3489.0,-22.2518,7.38644,2.5,22.1012,-126.653,-144.95,-162
2276.0,0.248192,-1.11356,2.5,11.1274,-74.0679,-23.7627,-162
2235.0,-20.2518,-1.11356,2.5,22.8333,-102.298,68.0738,-162
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-162
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-162
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-162
2018.0,-17.7518,-2.61356,2.5,21.5284,-123.212,-56.9298,-162
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-162
2707.0,-6.25181,1.88644,2.5,10.0592,-77.9113,136.203,-162
2902.0,-19.7518,3.38644,2.5,20.54,-187.817,-16.3867,-162
2573.0,0.748192,0.886438,2.5,9.17429,-75.9379,118.305,-162
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-162
2648.0,1.24819,1.38644,2.5,8.75259,-73.4955,34.4057,-162
2642.0,-1.75181,1.38644,2.5,8.73412,-75.1352,-138.697,-162
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7135,-74.9494,-162
1052.0,-19.7518,-9.11356,2.5,27.2668,-104.924,81.7182,-161
1218.0,-10.7518,-8.11356,2.5,20.9099,-95.6995,-102.54,-161
1828.0,-1.75181,-4.11356,2.5,14.1875,-76.588,-81.9229,-161
1756.0,-0.751808,-4.61356,2.5,14.6204,-77.0673,69.7648,-161
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-161
1530.0,-2.75181,-6.11356,2.5,16.2982,-78.7562,-79.5608,-161
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-161
258.0,-9.75181,-14.6136,2.5,26.3639,-92.042,-11.2952,-161
478.0,-10.7518,-13.1136,2.5,25.3645,-109.374,-139.439,-161
475.0,-12.2518,-13.1136,2.5,26.0182,-99.3788,35.5933,-161
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-161
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-161
853.0,-8.25181,-10.6136,2.5,22.0921,-101.572,20.3402,-161
774.0,-10.7518,-11.1136,2.5,23.5564,-87.969,128.464,-161
917.0,-13.2518,-10.1136,2.5,23.9198,-104.48,58.2652,-161
613.0,-17.2518,-12.1136,2.5,27.86,-99.4527,-60.2705,-161
693.0,-14.2518,-11.6136,2.5,25.7224,-99.4039,47.0333,-161
